local_file,local_symbol,source_repository,source_commit,source_file,source_symbol,license,reuse_type,modifications,citation_key
src/gait_aqa/data/import_walker_outputs.py,import_walker_outputs,https://github.com/AleksaM07/mujoco-bipedal-joystick-walker,33eaa1fb76f2ffb0fb8a821deb9cad27f3989426,analysis_outputs/*.csv,exported metrics,unclear,conceptual_reimplementation,"Reads documented CSV exports only; no source copied.",mujoco_walker_software
src/gait_aqa/vision/motion_basis.py,MotionBasis,Richard Szeliski Computer Vision draft,2010-09-03,Section 8.2.2,learned motion models,book,conceptual_reimplementation,"Implements flow stacking and SVD/PCA basis from the described method.",szeliski2010
src/gait_aqa/models/classical_regressor.py,NumpyRidgeRegressor,local original,,,,MIT,original,"Original simple Ridge implementation for this project.",visual_gait_aqa
reports/assets/docs/reference_repository_audit.md,repository audit,all inspected repositories,see audit,LICENSE and README files,,mixed,original,"Records license decisions and commit hashes.",visual_gait_aqa
datasets/README.md,OpenGait layout audit,https://github.com/ShiqiYu/OpenGait,0efafd4779f127fbce34f22aff301bd82e923da5,repository layout,"datasets configs opengait output",unknown,conceptual_reference,"Adopts only the dataset-metadata/config/runtime-output separation; no source copied.",opengait_software
reports/assets/docs/reference_repository_audit.md,AMASS audit,https://amass.is.tue.mpg.de/index.html,,dataset index,,varied,conceptual_reference,"Recorded as an external mocap dataset family reference for future retarget/render work; no dataset files copied into src.",amass_dataset
reports/assets/docs/reference_repository_audit.md,CMU mocap audit,http://mocap.cs.cmu.edu/,,dataset inspection,,varied,conceptual_reference,"Recorded as an external motion source and BVH reference family; local use is through external reference checkouts only.",cmu_mocap_dataset
reports/assets/docs/reference_repository_audit.md,CBSR gait hub audit,http://www.cbsr.ia.ac.cn/english/Gait%20Databases.asp,,dataset hub inspection,,varied,conceptual_reference,"Recorded as a candidate source of real gait datasets; no direct data copied.",cbsr_gait_hub
reports/assets/docs/reference_repository_audit.md,SSM audit,https://amass.is.tue.mpg.de/extra.php,,dataset inspection,,varied,conceptual_reference,"Recorded as an AMASS-linked reference dataset candidate.",ssm_dataset
reports/assets/docs/reference_repository_audit.md,DissabledGait dataset,https://data.mendeley.com/datasets/v6hy35ydch/2,,version 2,,CC BY 4.0,dataset_reference,"Recorded as a potential real-video gait dataset; not downloaded.",wulanningrum2024disabledgait
reports/assets/docs/reference_repository_audit.md,GaHu-Video dataset,https://data.mendeley.com/datasets/gprg4s73v4/1,,version 1,,CC BY 4.0,dataset_reference,"Recorded as a potential real-video gait dataset; not downloaded.",guillenpinto2020gahu
reports/assets/docs/reference_repository_audit.md,OU-ISIR Treadmill candidate,http://www.am.sanken.osaka-u.ac.jp/BiometricDB/GaitTM.html,,dataset index,,institutional release agreement,candidate_dataset,"Maybe only: access requires signed institutional approval; not downloaded.",makihara2012ouisir_treadmill_candidate
